Product_url,brand,Title,Description,Sale_price,MRP,Discount_percentage,Seller_name,seller_rating,Number_of_ratings,Number_of_reviews,UPC,Star_rating_of_the_product,Color,Model,Headphone Type,Is sweatproof,Is water resistant,Microphon,Connectivity,Battery life
https://www.flipkart.com/skullcandy-ink-d-headset-mic/p/itme01dda3649531?pid=ACCF6C2RPTTEAHHM,Skullcandy,"Skullcandy Ink'd Headset with mic  (Standard Issue, In the Ear)",Description Not available,999,1699,41,Affordia,4.1,173087,21996,ACCF6C2RPTTEAHHM,4,Standard Issue,S2IKDY-L094,In the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/zebronics-yoga-bluetooth-headset/p/itm4705a866d75ff?pid=ACCFUHZWNWKSGWHD,ZEBRONICS,"ZEBRONICS Yoga Bluetooth Headset  (Black, Yellow, In the Ear)","The Zeb-Yoga is a pair of elegantly designed Bluetooth earphones that come with an ergonomically designed neckband. With a comfortable fit and lightweight construction, the Zeb-Yoga is here to make heads turn as you listen to music or talk to your friends. The earphones come with an impressive playback time of up to 21 hours. To top it off, these earphones come with Bluetooth 5.0 thus providing a stable and seamless connectivity experience. Not only that, but these earphones can also pair with two compatible devices simultaneously.",1389,2499,44,ADV TECH SOLUTIONS,3.7,156,14,ACCFUHZWNWKSGWHD,3.5,"Black, Yellow",Yoga,In the Ear,Yes,Yes,Yes,Bluetooth,Not available
https://www.flipkart.com/zebronics-zeb-yoga-101-bluetooth-headset/p/itm3afbdaab34536?pid=ACCFWYYCSUJKG9VZ,ZEBRONICS,"ZEBRONICS Zeb-Yoga 101 Bluetooth Headset  (Black, In the Ear)",Description Not available,1299,2499,48,COLORTRADES,4.8,20,2,ACCFWYYCSUJKG9VZ,3.8,Black,Zeb-Yoga 101,In the Ear,No,No,Yes,Bluetooth,7 hrs
https://www.flipkart.com/sony-wi-c200-bluetooth-headset/p/itm824a12ad984b5?pid=ACCFGWBD7KZ4GNYQ,SONY,"SONY WI-C200 Bluetooth Headset  (Black, In the Ear)","These Sony Bluetooth Earphones, you can bid adieu to tangled wires and pulled-out plugs. With just 10 minutes of charging, you can enjoy up to 60 minutes of music playback. This means that you can enjoy listening to your favourite tunes even you’re hard-pressed for time.",2095,2990,29,TRUE-TECH,4.6,4746,422,ACCFGWBD7KZ4GNYQ,4.1,Black,WI-C200,In the Ear,No,No,Yes,Bluetooth,Not available
https://www.flipkart.com/zebronics-zeb-yoga-90-pro-gray-bluetooth-headset/p/itm88d691a05e629?pid=ACCFYUWDDRWQZG7Y,ZEBRONICS,"ZEBRONICS Zeb- Yoga 90 Pro (Gray) Bluetooth Headset  (Grey, In the Ear)","Be it your daily workouts or a copious amount of household chores, the Zebronics ZEB-Yoga 90 Pro Bluetooth earphones will help you breeze through them all by playing your favourite music. These earphones offer rich and loud sound quality, thanks to their 10 mm neodymium magnet driver. Furthermore, these earphones come with a rapid-charging feature that enables you to use them for up to 4 hours after charging them for up to 20 minutes.",1099,2999,63,SuperComNet,4.6,16,1,ACCFYUWDDRWQZG7Y,4.1,Grey,headphone,In the Ear,Not available,Yes,Yes,Bluetooth,Not available
https://www.flipkart.com/zebronics-zeb-buds-c-type-wired-earphone-volume-control-black-headset/p/itmd0027f01c6ebc?pid=ACCGFYPNSJAKHAZZ,ZEBRONICS,"ZEBRONICS Zeb-Buds C , Type C wired earphone with volume control (Black) Wired Headset  (Black, In the Ear)",Description Not available,559,1299,56,SuperComNet,4.6,46,9,ACCGFYPNSJAKHAZZ,3.1,Black,"Zeb-Buds C , Type C wired earphone with volume control (Black)",In the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/sony-wi-xb400-extra-bass-wireless-stereo-headset-bluetooth/p/itm855cb24840c67?pid=ACCFH5QH2AXK23Y2,SONY,"SONY WI-XB400 Extra Bass Wireless Stereo Headset Bluetooth Headset  (Blue, In the Ear)","The WI-XB400 are fully wireless, effortlessly portable and deliver deep, punchy sound. The headphones come with 15 hours of charge and a silicon neckband, so they'll slip right into your pocket or bag.",3890,4990,22,Affordia,4.1,2190,231,ACCFH5QH2AXK23Y2,4.1,Blue,WI-XB400 Extra Bass Wireless Stereo Headset,In the Ear,Yes,Yes,Yes,Bluetooth,Not available
https://www.flipkart.com/zebronics-zeb-gravity-bluetooth-headset/p/itm28db0694499ae?pid=ACCFVPMTGEUCKWGF,ZEBRONICS,"ZEBRONICS ZEB-GRAVITY Bluetooth Headset  (Black, True Wireless)","Zeb-Gravity is a wireless earphone that comes in a flexible neckband featuring a splashproof design. The wireless earphones come with dual pairing, media and volume controls, magnetic earpiece, voice assistant along with 13 hours of playback time.",810,1299,37,Bigchotu,4.1,11,0,ACCFVPMTGEUCKWGF,2.4,Black,ZEB-GRAVITY,True Wireless,Yes,Not available,Yes,Bluetooth,Not available
https://www.flipkart.com/boat-bassheads-242-wired-headset/p/itm2362337212863?pid=ACCFUXTXFQKRXSA9,boAt,"boAt Bassheads 242 Wired Headset  (Neon Green, In the Ear)","Get ready to redefine fitness fashion and utility with the boAt Bassheads 242, it's time to get your sport on. It carries ear hooks that are crafted from silicon to maximize comfort and a secure fit that allows you to maximize your workouts. Coated with IPX 4 sweat and water protection, the Bassheads 242 emphasizes on all around ability with 10mm drivers that reproduces a quality sound. Move around freely with the superior coated cable that reaches comfortably from your pocket till your ears. Connect to a number of devices with ease using the 3.5mm straight jack, because there's no stress, only sweetness when you're riding the waves on this boAt. You can tune in and out with the pause/play button that can also take calls (With In-line Mic.) and control volume in-between exercise reputations. Lead your fight to fitness in style with the boAt Bassheads 242, its time to get your sport on!",499,1490,66,SuperComNet,4.6,199829,20927,ACCFUXTXFQKRXSA9,4.3,Neon Green,Bassheads 242,In the Ear,Yes,Yes,Yes,Wired,Not available
https://www.flipkart.com/sony-ex155-wired-headset/p/itmab12708674f9d?pid=ACCEVAEWCBH7WR3K,SONY,"SONY EX155 Wired Headset  (Black, In the Ear)","These earphones from Sony are built for people who are constantly on the move. These earphones feature an Inline Mic, whose functions can be configured as per your convenience. They feature 9 mm Neodymium Drivers and they support a wide frequency range of 5 Hz to 24 KHz so that you can have an enjoyable listening experience.  Inline Mic
 	This feature makes for a seamless hands-free calling experience - you can easily switch to take/make calls easily while you are listening to music.  Smart Key Application
 	With this easy-to-use application, you can configure the mic button to choose the volume control or track control functions. You can download this app from the Play Store, that is compatible with Android devices (4.0 or above), and set the functions for the mic button.  9 mm Neodymium Drivers
 	You can enjoy music that is powerful, yet perfectly balanced and detailed right on these earphones. These earphones support a wide frequency range of 5 Hz to 24 KHz so that you can hear even the most subtle details in your music.  Music Mobility
 	This pair of earphones is lightweight, allowing you to carry it around with ease. It also features a shiny metallic finish housing to match your style.  Snug Fit
 	With soft and secure-fitting silicone earbuds that fit perfectly, you can listen to music without facing any discomfort.  Wire Manager
 	Now, you don’t have to fret about your earphones getting tangled thanks to this feature.",1099,1290,14,CORSECA,4.7,17651,1855,ACCEVAEWCBH7WR3K,4.2,Black,MDR-EX155AP,In the Ear,Not available,Not available,Yes,Wired,Not available
