"link";"price";"crawled_date"
"https://www.flipkart.com/skullcandy-ink-d-headset-mic/p/itme01dda3649531?pid=ACCF6C2RPTTEAHHM";1050;"2021-06-07"
"https://www.flipkart.com/zebronics-yoga-bluetooth-headset/p/itm4705a866d75ff?pid=ACCFUHZWNWKSGWHD";1388;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-yoga-101-bluetooth-headset/p/itm3afbdaab34536?pid=ACCFWYYCSUJKG9VZ";1299;"2021-06-07"
"https://www.flipkart.com/sony-wi-c200-bluetooth-headset/p/itm824a12ad984b5?pid=ACCFGWBD7KZ4GNYQ";2075;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-yoga-90-pro-gray-bluetooth-headset/p/itm88d691a05e629?pid=ACCFYUWDDRWQZG7Y";1099;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-buds-c-type-wired-earphone-volume-control-black-headset/p/itmd0027f01c6ebc?pid=ACCGFYPNSJAKHAZZ";559;"2021-06-07"
"https://www.flipkart.com/sony-wi-xb400-extra-bass-wireless-stereo-headset-bluetooth/p/itm855cb24840c67?pid=ACCFH5QH2AXK23Y2";3849;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-gravity-bluetooth-headset/p/itm28db0694499ae?pid=ACCFVPMTGEUCKWGF";842;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-242-wired-headset/p/itm2362337212863?pid=ACCFUXTXFQKRXSA9";549;"2021-06-07"
"https://www.flipkart.com/sony-ex155-wired-headset/p/itmab12708674f9d?pid=ACCEVAEWCBH7WR3K";1099;"2021-06-07"
"https://www.flipkart.com/sony-c400-bluetooth-headset/p/itm0706002957211?pid=ACCF4PEKWXQNHZAC";3299;"2021-06-07"
"https://www.flipkart.com/jbl-t500bt-bluetooth-headset/p/itm85c11620070a8?pid=ACCFD84RYHXHFB6D";2990;"2021-06-07"
"https://www.flipkart.com/bose-soundsport-bluetooth-headset/p/itm8a06433f2f6b0?pid=ACCEJ9YYRZWVYEGS";13275;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-preksha-2-0-bluetooth-headset/p/itm239e5c0c7504f?pid=ACCFZGSJAM2PGVPJ";1099;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-fashion-bluetooth-headset/p/itmedc99cecac8d3?pid=ACCFG8UTE5R4T9WN";749;"2021-06-07"
"https://www.flipkart.com/sony-mdr-zx300ip-w-headphones-microphone-smart-phones-wired-headset/p/itmbb4bed9b63572?pid=ACCFGGS58HRGZ5U9";0;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-lily-ear-design-wired-stereo-earphone-headset/p/itmb5c0c03d871f8?pid=ACCFWVH8GYZ2NBMT";281;"2021-06-07"
"https://www.flipkart.com/jbl-live-100bt-bluetooth-headset/p/itmd95f74962294b?pid=ACCGY6G7TAHZHGFE";1913;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-calyx-wired-headset/p/itm9d5daef64232f?pid=ACCFKTFQ6ZPYPBCZ";169;"2021-06-07"
"https://www.flipkart.com/zebronics-bass-booster-temptation-wired-headset/p/itmcaa3ecc2f04a4?pid=ACCFD7TF4H4Q6ZEF";319;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-lily-wired-headset/p/itmee8d76a9fdb66?pid=ACCFUYZ7YT4X4VTW";389;"2021-06-07"
"https://www.flipkart.com/sennheiser-cx-80s-wired-headset/p/itmec98ffc56f634?pid=ACCFNV8NXGNEG9TY";1490;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-paradise-bluetooth-headset/p/itm695cdeaf6338c?pid=ACCFPGX37KSSGZ5J";885;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-pleasant-headphone-wired-headset/p/itm8f8f5e8a137df?pid=ACCFX78F973NBHWM";399;"2021-06-07"
"https://www.flipkart.com/skullcandy-cassette-wireless-bluetooth-headset/p/itm38fd1ce3f337d?pid=ACCFXYP7GHPXBHAH";3099;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-104-wired-headset/p/itm67826a218b940?pid=ACCGF76YABBG7GK9";399;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-calxy-wired-headset/p/itmf31eabd28db01?pid=ACCFK8745B6YK5TQ";228;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-all-rounder-usb-mic-wired-headset/p/itm0bca9119b5701?pid=ACCFXJ24M8J2ZA7U";1090;"2021-06-07"
"https://www.flipkart.com/zebronics-bh370-bluetooth-headset/p/itm3e43564396678?pid=ACCEDNZ5QSHKW2AY";1125;"2021-06-07"
